epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1203.44,1.3334,0.96357,1.33314,0.91317,0.79429,0.87983,0.53909,1.36822,0.8154,1.39179,0.0004952,0.0004952,0.0004952
40,1233.27,1.30787,0.93832,1.30665,0.90395,0.80666,0.88364,0.54011,1.38556,0.80577,1.3844,0.0004556,0.0004556,0.0004556
41,1264.13,1.27891,0.80636,1.30642,0.90153,0.82857,0.88485,0.5456,1.35284,0.7899,1.36736,0.000416,0.000416,0.000416
42,1293.38,1.26942,0.77672,1.29098,0.93157,0.76857,0.87391,0.53622,1.3633,0.78915,1.38133,0.0003764,0.0003764,0.0003764
43,1323.06,1.2396,0.75539,1.27037,0.90969,0.81429,0.89887,0.55905,1.32548,0.75523,1.35232,0.0003368,0.0003368,0.0003368
44,1352.85,1.22335,0.7204,1.26515,0.92851,0.81636,0.90802,0.56552,1.327,0.74525,1.34893,0.0002972,0.0002972,0.0002972
45,1382.19,1.2306,0.73234,1.26903,0.93682,0.80487,0.90056,0.56722,1.31513,0.72855,1.34168,0.0002576,0.0002576,0.0002576
46,1410.46,1.21722,0.70696,1.25598,0.94427,0.82,0.89709,0.56846,1.31512,0.73791,1.35147,0.000218,0.000218,0.000218
47,1436.97,1.1889,0.70041,1.23795,0.92831,0.79429,0.88244,0.56012,1.32888,0.72635,1.35297,0.0001784,0.0001784,0.0001784
48,1463.31,1.16864,0.67427,1.22932,0.93206,0.81714,0.90011,0.57084,1.3135,0.71042,1.34863,0.0001388,0.0001388,0.0001388
49,1489.75,1.17937,0.66979,1.23665,0.94378,0.80286,0.89332,0.56687,1.30855,0.70592,1.33461,9.92e-05,9.92e-05,9.92e-05
50,1516.1,1.14149,0.66003,1.21305,0.94317,0.80286,0.89854,0.57344,1.29817,0.69957,1.33961,5.96e-05,5.96e-05,5.96e-05
