epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6155,1.86883,3.13028,1.61195,0.15573,0.22,0.10654,0.03223,2.04005,6.54811,2.073,0.000661728,0.000661728,0.000661728
2,68.2375,1.99175,2.51728,1.76642,0.22217,0.30857,0.18928,0.08305,2.06076,4.96322,2.01371,0.00130209,0.00130209,0.00130209
3,101.358,2.02492,2.28952,1.7739,0.51504,0.30286,0.28901,0.11338,2.23502,2.62148,2.01723,0.00191606,0.00191606,0.00191606
4,134.613,1.9779,2.13973,1.78641,0.52836,0.36857,0.40086,0.18374,2.03845,2.14554,1.91598,0.0018812,0.0018812,0.0018812
5,167.794,1.91218,1.94419,1.7242,0.5506,0.42707,0.44256,0.21101,1.8918,2.16352,1.79737,0.0018416,0.0018416,0.0018416
6,200.857,1.84828,1.84124,1.66991,0.6274,0.52,0.56823,0.29402,1.73453,1.64095,1.66084,0.001802,0.001802,0.001802
7,230.908,1.79549,1.7334,1.61112,0.67628,0.57301,0.63097,0.31037,1.74026,1.58656,1.63854,0.0017624,0.0017624,0.0017624
8,261.134,1.78687,1.70138,1.61618,0.71675,0.55143,0.62662,0.31211,1.76347,1.63877,1.64876,0.0017228,0.0017228,0.0017228
9,293.241,1.74974,1.68873,1.58695,0.68464,0.62649,0.68551,0.36769,1.64122,1.4186,1.57041,0.0016832,0.0016832,0.0016832
10,323.582,1.71556,1.61978,1.57871,0.77338,0.60452,0.69946,0.35425,1.70487,1.48258,1.58475,0.0016436,0.0016436,0.0016436
11,353.363,1.70577,1.58416,1.58213,0.68116,0.6,0.66683,0.3482,1.66119,1.4871,1.58953,0.001604,0.001604,0.001604
12,383.276,1.6682,1.54852,1.54978,0.71291,0.65143,0.68175,0.34967,1.60847,1.54161,1.54273,0.0015644,0.0015644,0.0015644
13,415.454,1.64662,1.49192,1.52798,0.86638,0.60286,0.74639,0.40303,1.56908,1.23672,1.52227,0.0015248,0.0015248,0.0015248
14,445.432,1.62128,1.4694,1.52049,0.84967,0.69429,0.80154,0.42965,1.53202,1.22419,1.50559,0.0014852,0.0014852,0.0014852
15,475.575,1.60628,1.42932,1.48874,0.88308,0.69143,0.80172,0.45513,1.52248,1.18174,1.47899,0.0014456,0.0014456,0.0014456
16,505.566,1.59181,1.36818,1.48712,0.83273,0.70571,0.79022,0.4473,1.49603,1.20065,1.45461,0.001406,0.001406,0.001406
17,535.053,1.57902,1.37532,1.48802,0.82425,0.7102,0.80089,0.45222,1.47605,1.19249,1.48143,0.0013664,0.0013664,0.0013664
18,564.599,1.55215,1.3189,1.46475,0.81247,0.73035,0.79965,0.45801,1.46015,1.11846,1.46425,0.0013268,0.0013268,0.0013268
19,594.776,1.55077,1.30341,1.47003,0.86277,0.73651,0.81445,0.46934,1.45865,1.09926,1.45796,0.0012872,0.0012872,0.0012872
20,625.087,1.53938,1.3024,1.4617,0.85971,0.75285,0.82326,0.48299,1.42016,1.08654,1.42694,0.0012476,0.0012476,0.0012476
21,654.905,1.52622,1.26728,1.43762,0.86679,0.70649,0.81741,0.47425,1.44866,1.09919,1.44401,0.001208,0.001208,0.001208
22,687.236,1.49746,1.24053,1.43307,0.8697,0.74374,0.83429,0.48104,1.42978,1.03515,1.43297,0.0011684,0.0011684,0.0011684
23,717.278,1.50638,1.2347,1.44283,0.85696,0.73429,0.82819,0.46582,1.44038,1.054,1.4092,0.0011288,0.0011288,0.0011288
24,747.382,1.48656,1.18051,1.40704,0.86861,0.75555,0.82762,0.50023,1.40442,1.01368,1.41957,0.0010892,0.0010892,0.0010892
25,777.657,1.48284,1.19686,1.42526,0.90053,0.77714,0.85649,0.51118,1.38276,0.946,1.40183,0.0010496,0.0010496,0.0010496
26,808.624,1.4726,1.18309,1.4226,0.90236,0.78,0.85906,0.50882,1.45576,0.9576,1.43067,0.00101,0.00101,0.00101
27,839.873,1.4476,1.16453,1.39771,0.84886,0.78,0.84077,0.47693,1.47767,0.9998,1.45778,0.0009704,0.0009704,0.0009704
28,870.009,1.44729,1.15488,1.40363,0.90257,0.76754,0.8543,0.50477,1.44599,0.92199,1.41605,0.0009308,0.0009308,0.0009308
29,900.175,1.44804,1.10102,1.38514,0.88773,0.76811,0.85233,0.49379,1.44407,0.94956,1.42843,0.0008912,0.0008912,0.0008912
30,930.464,1.41164,1.08354,1.36713,0.84941,0.78,0.85439,0.5021,1.4102,0.90825,1.40795,0.0008516,0.0008516,0.0008516
31,960.621,1.4088,1.03667,1.36939,0.89387,0.7941,0.87683,0.52987,1.39141,0.87425,1.40201,0.000812,0.000812,0.000812
32,990.949,1.40973,1.05612,1.36393,0.87401,0.79284,0.86246,0.51476,1.43925,0.89051,1.42055,0.0007724,0.0007724,0.0007724
33,1020.7,1.3937,1.04044,1.36349,0.89712,0.79725,0.87031,0.5228,1.3956,0.89215,1.39427,0.0007328,0.0007328,0.0007328
34,1050.51,1.36255,1.00596,1.33605,0.92883,0.78571,0.88558,0.54319,1.38466,0.83396,1.38273,0.0006932,0.0006932,0.0006932
35,1080.3,1.37385,1.02695,1.34297,0.91545,0.77334,0.86426,0.51621,1.40092,0.88245,1.42182,0.0006536,0.0006536,0.0006536
36,1112.87,1.34515,1.00368,1.32025,0.90108,0.79714,0.88298,0.52777,1.41289,0.84668,1.4154,0.000614,0.000614,0.000614
37,1143.18,1.37278,0.99508,1.35493,0.92351,0.82792,0.87911,0.53632,1.35949,0.81244,1.37211,0.0005744,0.0005744,0.0005744
38,1173.48,1.32883,0.96911,1.32836,0.89058,0.81391,0.88324,0.54375,1.34858,0.83467,1.36219,0.0005348,0.0005348,0.0005348
